code;intitule
AGRAL;Agro-Alimentaire
EAME;Economie Agricole et Management des Entreprises
PAA;Productions Animales et Aquaculture
PV;Productions Végétales
GEHY;Génie Hydraulique
GESE;Génie Sanitaire et Environnement
Climatologie;Climatologie
HYDRO;Hydrologie
PEDO;Pédologie
CMET;Climatologie
HYMAE;Hydraulique et Maîtrise des Eaux
GC;Génie Civil
DEREN;Desertification et Ressources Naturelles
DEPO;Déchets et Pollution
SAR;Sécurité et Administration Réseau
TELE;Télécommunications
IG;Informatique de Gestion
INFO;Informatique
BIO;Biomasse
